Nom,Pays,Points,100m,Hauteur,Poids,200m,Longueur,Javelot,800m
Oosterwegel,NED,6394,13.46,1.75,13.8,24.48,6.18,56.66,2m13s62
Kalin,SUI,6390,13.21,1.75,12.33,24.20,6.67,46.05,2m15s20
Brooks,USA,6181,12.91,1.75,12.93,24.02,6.24,37.41,2m15s66
Kunz,USA,6126,13.36,1.72,13.54,24.43,5.96,44.68,2m15s98
Esselink,NED,6101,13.36,1.75,13.28,24.63,5.82,46.75,2m17s68
Weissenberg,GER,6055,13.72,1.81,13.67,24.05,6.18,43.42,2m32s65
Posch,AUT,6001,13.59,1.63,13.11,23.74,6.31,40.28,2m19s27
Mayr,AUT,5995,13.73,1.75,13.38,25.14,5.91,42.16,2m14s24
Krizsan,HON,5994,13.82,1.69,13.46,25.10,6.22,39.59,2m12s04
Atherley,USA,5987,15.14,1.69,12.96,23.89,6.33,38.48,2m06s58
Loban,UKR,5939,14.04,1.75,14.17,25.1,6.23,38.10,2m18s39
Sprengel,GER,5853,13.93,1.75,12.55,24.62,5.91,39.72,2m18s44
Perron,FRA,5795,13.85,1.75,11.94,24.63,5.99,29.64,2m08s59
Cambours,FRA,5685,13.54,1.66,12.14,24.88,6.15,38.47,2m26s83
Lazraq-Khlass,FRA,5611,13.82,1.66,12.57,24.52,5.68,36.20,2m20s02
Conte,ESP,5609,14.46,1.75,11.66,26.02,5.69,42.95,2m16s99
Ellenwood,CAN,,13.80,1.66,12.04,25.45,6.01,44.58,
Barber,GBR,,14.30,1.57,12.96,25.28,,,
